Channel,Views_gained
xQcOW,93036735
summit1g,89705964
Gaules,102611607
ESL_CSGO,106546942
Tfue,78998587
Asmongold,61715781
NICKMERCS,46084211
Fextralife,670137548
loltyler1,51349926
Anomaly,36350662
TimTheTatman,50119786
LIRIK,50504526
riotgames,56855694
Rubius,58599449
auronplay,41514854
MontanaBlack88,37189666
sodapoppin,39334821
hanryang1125,34405975
alanzoka,46515698
CohhCarnage,38718674
Lord_Kebun,19645967
LCK_Korea,76225485
Castro_1021,22672980
DrDisrespect,43919410
TheRealKnossi,25342894
TheGrefg,47094362
YoDa,38499423
Pestily,24029726
handongsuk,30610352
GamesDoneQuick,43345080
Solary,48799554
Gotaga,39591707
MOONMOON,13505898
DrLupo,47295386
OgamingLoL,71583995
Myth,37384058
Evelone192,47400543
nl_Kripp,20034033
LEC,25924096
dota2mc_ru,38774178
Fresh,25341820
LCS,28313058
ROSHTEIN,17836875
ibai,44178173
TFBlade,35978104
Sardoche,32261961
LCK,28970100
Yassuo,32362117
HasanAbi,14154952
BeyondTheSummit,42403593
